symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
CMSINFO,INE925R01014,2025-07-28,NSE,EQ,EQ,buy,false,1.000000,487.600006,359263,1000000002594982,2025-07-28T09:19:53
EPL,INE255A01020,2025-07-28,NSE,EQ,EQ,buy,false,5.000000,223.389999,200454871,1100000003001641,2025-07-28T09:19:53
CASTROLIND,INE172A01027,2025-08-28,NSE,EQ,EQ,buy,false,4.000000,201.979996,1497146,1000000013281604,2025-08-28T10:02:30
EPL,INE255A01020,2025-08-28,NSE,EQ,EQ,buy,false,1.000000,229.289993,202222146,1100000016649283,2025-08-28T10:02:30
EPL,INE255A01020,2025-08-28,NSE,EQ,EQ,buy,false,2.000000,229.259995,202222143,1100000016649283,2025-08-28T10:02:30
EPL,INE255A01020,2025-08-28,NSE,EQ,EQ,buy,false,1.000000,229.279999,202222145,1100000016649283,2025-08-28T10:02:30
TIMETECHNO,INE508G01029,2025-08-28,NSE,EQ,EQ,buy,false,1.000000,460.850006,602000728,1300000015358667,2025-08-28T10:02:30
LTFOODS,INE818H01020,2025-08-28,NSE,EQ,EQ,buy,false,2.000000,430.200012,401801921,1200000016168431,2025-08-28T10:02:30
MOTHERSON,INE775A01035,2025-08-28,NSE,EQ,EQ,buy,false,8.000000,92.519997,401801917,1200000016168398,2025-08-28T10:02:30
SHARDACROP,INE221J01015,2025-08-28,NSE,EQ,EQ,buy,false,1.000000,951.000000,602000726,1300000015358658,2025-08-28T10:02:30
SHAKTIPUMP,INE908D01010,2025-08-28,NSE,EQ,EQ,buy,false,1.000000,823.950012,602000725,1300000015358652,2025-08-28T10:02:30
TIMETECHNO,INE508G01029,2025-08-28,NSE,EQ,EQ,buy,false,2.000000,460.850006,602000729,1300000015358667,2025-08-28T10:02:30
CMSINFO,INE925R01014,2025-08-28,NSE,EQ,EQ,buy,false,3.000000,427.799988,1497148,1000000013281621,2025-08-28T10:02:30
PARADEEP,INE088F01024,2025-08-28,NSE,EQ,EQ,buy,false,2.000000,227.169998,401801920,1200000016168420,2025-08-28T10:02:30
EPL,INE255A01020,2025-08-28,NSE,EQ,EQ,buy,false,1.000000,229.279999,202222144,1100000016649283,2025-08-28T10:02:30
GULFOILLUB,INE635Q01029,2025-09-03,NSE,EQ,EQ,sell,false,7.000000,1260.000000,201123081,1100000008170647,2025-09-03T09:33:29
HCLTECH,INE860A01027,2025-09-03,NSE,EQ,EQ,sell,false,8.000000,1464.000000,201123080,1100000008170617,2025-09-03T09:33:29
CMSINFO,INE925R01014,2025-09-03,NSE,EQ,EQ,sell,false,30.000000,405.200012,661935,1000000005954229,2025-09-03T09:33:29
CASTROLIND,INE172A01027,2025-09-03,NSE,EQ,EQ,sell,false,11.000000,197.320007,661937,1000000005954252,2025-09-03T09:33:29
CASTROLIND,INE172A01027,2025-09-03,NSE,EQ,EQ,sell,false,1.000000,197.320007,661938,1000000005954252,2025-09-03T09:33:29
GULFOILLUB,INE635Q01029,2025-09-03,NSE,EQ,EQ,sell,false,4.000000,1260.000000,201123082,1100000008170647,2025-09-03T09:33:29
MOTHERSON,INE775A01035,2025-09-03,NSE,EQ,EQ,sell,false,137.000000,95.699997,401060578,1200000008175037,2025-09-03T09:33:29
CASTROLIND,INE172A01027,2025-09-03,NSE,EQ,EQ,sell,false,2.000000,197.309998,661939,1000000005954252,2025-09-03T09:33:29
CASTROLIND,INE172A01027,2025-09-03,NSE,EQ,EQ,sell,false,48.000000,197.320007,661936,1000000005954252,2025-09-03T09:33:29
NATIONALUM,INE139A01034,2025-09-03,NSE,EQ,EQ,buy,false,8.000000,203.779999,401062111,1200000008188117,2025-09-03T09:33:31
NATIONALUM,INE139A01034,2025-09-03,NSE,EQ,EQ,buy,false,91.000000,203.779999,401062110,1200000008188117,2025-09-03T09:33:31
DEEPAKFERT,INE501A01019,2025-09-03,NSE,EQ,EQ,buy,false,5.000000,1468.900024,201124607,1100000008180012,2025-09-03T09:33:31
PARADEEP,INE088F01024,2025-09-03,NSE,EQ,EQ,buy,false,10.000000,212.789993,401062108,1200000008188094,2025-09-03T09:33:31
EPL,INE255A01020,2025-09-03,NSE,EQ,EQ,buy,false,23.000000,233.100006,201124602,1100000008179979,2025-09-03T09:33:31
MPHASIS,INE356A01018,2025-09-03,NSE,EQ,EQ,buy,false,1.000000,2896.600098,401062102,1200000008188057,2025-09-03T09:33:31
HINDALCO,INE038A01020,2025-09-03,NSE,EQ,EQ,buy,false,28.000000,731.000000,201124601,1100000008179965,2025-09-03T09:33:31
LTFOODS,INE818H01020,2025-09-03,NSE,EQ,EQ,buy,false,15.000000,446.000000,401062101,1200000008188030,2025-09-03T09:33:31
SHARDACROP,INE221J01015,2025-09-03,NSE,EQ,EQ,buy,false,3.000000,990.750000,601005728,1300000007439224,2025-09-03T09:33:31
SHAKTIPUMP,INE908D01010,2025-09-03,NSE,EQ,EQ,buy,false,9.000000,827.599976,601005724,1300000007439186,2025-09-03T09:33:31
TIMETECHNO,INE508G01029,2025-09-03,NSE,EQ,EQ,buy,false,8.000000,482.149994,601005725,1300000007439197,2025-09-03T09:33:31
SILVERCASE,INF0R8F01091,2025-09-19,NSE,EQ,EQ,buy,false,15.000000,13.430000,600032443,1300000000279956,2025-09-19T09:15:00
GOLDCASE,INF0R8F01042,2025-09-19,NSE,EQ,EQ,buy,false,35.000000,17.340000,200031310,1100000000278297,2025-09-19T09:15:00
SILVERCASE,INF0R8F01091,2025-09-19,NSE,EQ,EQ,buy,false,15.000000,13.430000,600032440,1300000000279956,2025-09-19T09:15:00
EPL,INE255A01020,2025-09-29,NSE,EQ,EQ,buy,false,1.000000,207.250000,200510926,1100000004066147,2025-09-29T09:21:29
PARADEEP,INE088F01024,2025-09-29,NSE,EQ,EQ,buy,false,12.000000,185.839996,400391463,1200000003471179,2025-09-29T09:21:29
LTFOODS,INE818H01020,2025-09-29,NSE,EQ,EQ,buy,false,2.000000,410.250000,400391468,1200000003471280,2025-09-29T09:21:29
TIMETECHNO,INE508G01029,2025-09-29,NSE,EQ,EQ,buy,false,2.000000,215.550003,600560481,1300000004174799,2025-09-29T09:21:29
SHARDACROP,INE221J01015,2025-09-29,NSE,EQ,EQ,buy,false,3.000000,836.450012,600560482,1300000004174833,2025-09-29T09:21:29
TIMETECHNO,INE508G01029,2025-09-29,NSE,EQ,EQ,buy,false,6.000000,215.550003,600560480,1300000004174799,2025-09-29T09:21:29
EPL,INE255A01020,2025-09-29,NSE,EQ,EQ,buy,false,7.000000,207.360001,200510927,1100000004066147,2025-09-29T09:21:29
EPL,INE255A01020,2025-09-29,NSE,EQ,EQ,buy,false,1.000000,207.250000,200510925,1100000004066147,2025-09-29T09:21:29
SILVERCASE,INF0R8F01091,2025-10-10,NSE,EQ,EQ,buy,false,329.000000,16.600000,601163171,1300000008992086,2025-10-10T09:33:51
GOLDCASE,INF0R8F01042,2025-10-10,NSE,EQ,EQ,buy,false,385.000000,18.950001,201068459,1100000008992911,2025-10-10T09:33:51
NMDC,INE584A01023,2025-10-21,BSE,EQ,A,buy,false,1.000000,75.559998,979100,1761033600029229650,2025-10-21T13:57:05
ITIETF,INF109KC16I6,2025-10-21,NSE,EQ,EQ,buy,false,2.000000,38.660000,200866243,1100000003777786,2025-10-21T13:57:18
